ID;Bird;Exp Name;Start Date;End Date;Setup;Data On;Backup On;PI;SG;Comment
778;g4r4;quadruplet - field L;25.09.2008;25.09.2008;AS;Zing;;Janie;1;mostly successful recording
779;k7r5;TPLSM;25.09.2008;25.09.2008;;;;Michael;2;bird died during surgery
780;g15r4;SR;26.09.2008;29.09.2008;IS4;;;Andreas;1;
781;p6r4;SR;26.09.2008;29.09.2008;IS6;;;Andreas;1;
782;g9r5;Practice left-cochlear removal.;26.09.2008;26.09.2008;;;;Claude;1;With Ketamine injection. Successful.
783;r4y6;Acute;27.09.2008;27.09.2008;AS;;;Andreas;1;Ovoidalis & Field L
784;o4r5;Tracer Injection;29.09.2008;29.09.2008;;;;Michael;2;Texas Red
785;g1r5;iMD Tetorde in NCM;29.09.2008;14.10.2008;E1;Zut;;Georg;2;
786;g8r5;Bilateral deafening;29.09.2008;;E2;;;Claude;1;
787;o9r5;Tracer injection;29.09.2008;06.10.2008;;;;Daniele;2;
788;o20o;Acute;29.09.2008;29.09.2008;AS;;;Andreas;1;Ovoidalis & Field L
789;b8o-p11k;RArec HVC-lMANstim;02.10.2008;02.10.2008;AS;;;Sepehr;2;Bird died after Nembutal injection
790;o19r2;NCM tracer injection;30.09.2008;06.10.2008;;;;Patrick;2;
792;o4r5;TPLSM;02.10.2008;02.10.2008;;;;Michael;2;
793;b11r4;Intracellular;05.10.2008;05.10.2008;AS;;;Janie;0;Sandra helped me perfect intracellular technique
794;r2s6;Acute;06.10.2008;06.10.2008;AS;;;Andreas;1;Ovoidalis & Field L
795;r3s3;SR;06.10.2008;10.10.2008;IS1;;;Georg;1;Tutor of g1r5
796;r3p-r19o;Quadruplet Recoding;07.10.2008;07.10.2008;AS;Zing;;Janie;1;successful recording, tried to do intracellular labeling
797;g8r2;RArec HVC/lMANstim;08.10.2008;08.10.2008;AS;;Lacie1TB;Aymeric;2;
798;g15r4;Tracer injection;09.10.2008;14.10.2008;;;;Daniele;2;
801;a8-g6r1;acute;10.10.2008;10.10.2008;;;;AySep;2;RArec and Bicuinjections HVC/lMANstimulations following protocol
802;k11r5;CMM tracer injection;03.10.2008;13.10.2008;;;;Patrick;2;
803;a9-g6r1;acute;13.10.2008;13.10.2008;AS;;;AySep;2;RArec&Bicu-injections HVC-/lMANstimulations following protocol
804;b5r5;Tracer injection with electrophys.;14.10.2008;14.10.2008;;;;Moritz;1;
805;p6r5;SR;14.10.2008;22.10.2008;IS7;Zut3;;Janie;0;This bird never sang in 8 dyas of recording
806;p3r5;SR;14.10.2008;17.10.2008;IS4;Zut3;;Janie;0;
807;b16r4;acute;15.10.2008;15.10.2008;AS;;;AySep;2;RArec/injections of Bicuculine HVC/lMANstims. Following protocol
808;k12r5;HVC Stim. & Bilateral Deafening.;06.10.2008;14.10.2008;;Zirkel;;Claude;1;
809;b13r5;Tracer Injection;14.10.2008;14.10.2008;;;;Michael;2;Texas Red
810;g4r5;SR;15.10.2008;17.10.2008;IS6;;;Andreas;1;
811;p17r4;SR;15.10.2008;17.10.2008;IS8;;;Andreas;1;
813;b8r5;Tracer injection;15.10.2008;20.10.2008;;;;Moritz;2;right ra, nif (both with el phys.) uva and X
814;b13r5;TPLSM;15.10.2008;15.10.2008;;;;Michael;2;
815;b12r5;Tracer injection;16.10.2008;27.10.2008;;;;Moritz;2;right side injection RA, X, NIF, Uva
816;p16r3;Intracellular;16.10.2008;16.10.2008;;Zing;;Janie;1;Successful Recording!! PICTURE DATA
817;g6r5;MD NCM;17.10.2008;28.10.2008;E1;;;Georg;3;Bird sang only rarely post surgery. Died over night. Found no trace of infection on the brain, but extensive amounts of blood between bone layers of the skull of post surgical origin. Could not locate origin of hemorrhage
818;b7r3;SR;17.10.2008;22.10.2008;IS1;;;Georg;1;Tutor of g6r5
819;g2r5;Showgirl;17.10.2008;28.10.2008;E1;Zut;;Georg;0;
820;k4r1;acute;22.10.2008;22.10.2008;AS;;;Aymeric;2;RArec/injectionBicuculine HVC/lMANstim following Protocol
821;b13g-red11;bilateral deafening.;20.10.2008;25.10.2008;E2;;;Claude;1;
822;red16;Tracer Injection CMM;21.10.2008;27.10.2008;;;;Patrick;2;
823;g13r4;Tracer Injection;21.10.2008;21.10.2008;;;;Michael;2;
824;k13r5;cause of death at tracer injections;22.10.2008;22.10.2008;;;;Michael;1;evaluation of surgery protocol together with georg.
825;dJO5ba;Record in X (multitrose);07.10.2008;21.10.2008;E3;Zutty;;Josh;2;
826;y;Record Area X (Multitrode);02.10.2008;13.10.2008;E3;Zutty;;Josh;2;
827;dJO5aa;Record Area X (Multitrode);03.10.2008;13.10.2008;E3;Zutty;;Josh;2;
828;p3r5;Intracellular;23.10.2008;23.10.2008;AS;Zing;;Janie;1;Field L - A few successful recordings - PICTURE DATA
829;b19r5;Tracer Injection;27.10.2008;27.10.2008;;;;Michael;2;
830;b17r5;acute;27.10.2008;27.10.2008;AS;;;Aymeric;2;RA rec and BICU inj. HVC/lMANstimulation Protocoll
831;b18r5;bilateral defeaning & HVC Stim;28.10.2008;10.11.2008;E2;;;Claude;1;
832;b19r5;TPLSM;29.10.2008;29.10.2008;;;;Michael;2;
833;silvergreen8;MMAN Lesion & HVC Stim.;31.10.2008;14.01.2009;;Zirkel;;Claude;1;
834;b16r5;Tracer Injection;03.11.2008;03.11.2008;;;;Michael;2;Texas Red
835;g8r1;SR;03.11.2008;06.11.2008;IS1;;;Georg;1;
836;o10r5;SR;03.11.2008;06.11.2008;E1;;;Georg;1;
837;n2g;MD NCM;03.11.2008;03.12.2008;IS2;Zut;;Georg;2;
839;k14r5;Intracellular;04.11.2008;04.11.2008;AS;;;Janie;1;Pipette Test - Improved my intracellular pipettes - No Data
840;k15r5;Intracellular;06.11.2008;06.11.2008;AS;Zing;;Janie;1;Tested pipettes and specificity of AF
841;r5-stumpy;SR;07.11.2008;11.11.2008;IS8;Zut3;;Janie;0;
842;o15r5;Intracellular;09.11.2008;09.11.2008;AS;Zing;;Janie;1;Field L - Tried 50 ms, 2 nA current pulse for cell penetration, forget this buzz nonsense - NO DATA
843;r5y13;Tracer Injection;10.11.2008;10.11.2008;;;;Michael;2;Texas Red
844;r3s14;Intracellular;10.11.2008;10.11.2008;AS;Zing;;Janie;1;Beveling sucks
845;b16r5;TPLSM;05.11.2008;05.11.2008;;;;Michael;2;
846;r5y2;Tracer Injection;11.11.2008;11.11.2008;;;;Michael;2;Texas Red
847;r5s19;Tracer injection CMM;10.11.2008;13.11.2008;;;;Patrick;2;
849;g12r5;Tracer injection CMM;10.11.2008;13.11.2008;;;;Patrick;2;
850;r5y8;Acute Exp.;03.12.2008;03.12.2008;;;;Claude;1;
851;r5y7;HVC Stim. & R-MMAN lesion;16.11.2008;03.12.2008;;;;Claude;1;The bird sang normal motif after R-mMAN lesion but he sang very few motifs per day. Kill the bird and stop exp.
852;r5s3;Intracellular;18.11.2008;18.11.2008;AS;Zing;;Janie;1;totally sweet current pulse recordings!!
853;r5s7;Intracellular;20.11.2008;20.11.2008;AS;Zing;;Janie;1;More pseudeo intracellular recordings
854;r5s6;Intracellular;22.11.2008;22.11.2008;AS;Zing;;Janie;1;HVC - Recording in HVC to compare to papers
855;r5y1;Intracellular;25.11.2008;25.11.2008;AS;Zing;;Janie;1;HVc - Trying to get + 50 mV intracellular spikes
856;o13r5;PrefTest;25.11.2008;27.11.2008;;;;Georg;1;First Preference Test trial
857;g7r1;song recording;28.11.2008;02.12.2008;IS2;;;Michael;0;
858;r5y19;song recording;28.11.2008;23.12.2008;IS7;;;Michael;0;
859;r5y5;SR;28.11.2008;01.12.2008;IS4;;;Michael;1;bird dies after tracer injection caused by massiv intracerebral bleeding in proximity of injection site
860;r5s11;Zenk expression after perturbation;17.11.2008;28.11.2008;;;;Patrick;2;
861;r5s10;Zenk expression after perturbation, control;17.11.2008;28.11.2008;;;;Patrick;2;
862;p13r5;Pref Test 2;27.11.2008;28.11.2008;;;;Georg;0;
863;r5y4;Intracellular;29.11.2008;29.11.2008;AS;Zing;;Janie;1;HVc - Trying to get spike amplitudes of +50 mV
864;y5o-s3k;MMAN Acute Exp.;01.12.2008;01.12.2008;AS;zong;;Claude;1;
865;r5y6;Intracellular;02.12.2008;02.12.2008;AS;Zing;;Janie;1;Intracellular recording in HVc, checking pipettes, making burns, specificity of AF - NO DATA - PICTURE DATA
866;p14r5;Tracer injection RA and X Bil.;02.12.2008;08.12.2008;;;;Moritz;2;
867;b13r3;SR;02.12.2008;12.12.2008;E3;;;Georg;1;song recording tutor for MD NCM
868;o18r6;SR;02.12.2008;12.12.2008;E3;;;Georg;1;SR for MD NCM
869;o16r6;PT;02.12.2008;05.01.2008;PT;;;Georg;1;First triggered PT
870;g13r5;MMAN-HVC Acute;02.12.2008;10.12.2008;AS;Zong;;Claude;1;
871;ch8587;HVC Stim & UVA Rec. Acute;04.12.2008;04.12.2008;AS;;;Claude;1;
872;r5y13;TPLSM;12.11.2008;12.11.2008;;;;Michael;2;
873;r5y2;TPLSM;14.11.2008;14.12.2008;;;;Michael;2;
874;r5-stumpy;Tracer Injection;19.11.2008;19.11.2008;;;;Michael;2;Texas Red into RA
875;r5-stumpy;TPLSM;21.11.2008;21.11.2008;;;;Michael;2;
876;g7r1;Tracer Injection;02.12.2008;02.12.2008;;;;Michael;2;Texas Red injection into Area X
877;g7r1;TPLSM;03.12.2008;03.12.2008;;;;Michael;1;
878;r6y1;Zenk expression after Perturbation;04.12.2008;11.12.2008;;;;Patrick;2;
879;r5y10;Intracellular;07.12.2008;07.12.2008;AS;Zing;;Janie;1;Tested pipetttes, AF, and made burns. Tried to get intracellular DV +1000 - PICTURE DATA
880;p7r5;BDA injection in CMM;08.12.2008;11.12.2008;;;;Patrick;2;
881;r5s8;BDA injection in CMM;08.12.2008;11.12.2008;;;;Patrick;2;
882;k9r2;DMP Acute Exp.;08.12.2008;08.12.2008;;;;Claude;1;
883;g12r4;SR;05.12.2008;09.12.2008;;;;Georg;1;
884;g10r4;SR;05.12.2008;09.12.2008;;;;Georg;1;
885;g11r4;SR;05.12.2008;09.12.2008;;;;Georg;1;
886;g11r4;NCM stim response search;10.12.2008;10.12.2008;AS;;;Georg;2;Stimulation in HVC, looking for stim hash in NCM pHVC - the only stim responses I found are most likely in  the cerebellum. Bird died during sugery, most likely due to rupture of a deep blood vessel. Extensive hemmorraghe between pallium and
887;g4r5;SR;11.12.2008;21.12.2008;E4;;;Andreas;0;
888;b1r6;Zenk expression CMM control;11.12.2008;11.12.2008;;;;Patrick;2;
889;b7r3;DMP Acute Exp.;11.12.2008;11.12.2008;AS;;;Claude;1;
890;r5ch8587;SR;12.12.2008;13.01.2009;;;;Claude;1;Died during anesthesia for operation.
891;g14r4;SR;04.12.2008;12.12.2008;;;;Georg;1;
892;o18r6;MD NCM;12.12.2008;30.12.2008;E1;Zut;;Georg;2;good recordings. MD fell off on tether cable reattachment. EoE.
893;o2r6;Intracellular;14.12.2008;14.12.2008;AS;Zing;;Janie;1;Design protocol for intracellular current clamp w/ bos, con, rev PICTURE DATA
894;k1r5;ShowGirl;14.12.2008;30.12.2008;E1;;;Georg;1;
895;p16r5;Intracellular;15.12.2008;15.12.2008;;Zing;;Janie;1;In the quest of the perfect pipette, looking for aud neurons to use bos, rev, con, protocol
896;p18r5;Intracellular;16.12.2008;16.12.2008;AS;Zing;;Janie;1;Field L intracellular, sucessful recordings, destroyed brain during perfusion
897;r5y14;SR;17.12.2008;20.12.2008;IS8;Zut3;;Janie;0;Sang on 3rd day
898;k4r5;SR;17.12.2008;20.12.2008;IS2;Zing;;Janie;0;Didn't sing in 3 days
899;r5s12;SR;17.12.2008;20.12.2008;IS4;Zut3;;Janie;0;Didn't sing in 3 days
900;p17r4;SR;22.12.2008;14.01.2009;E3;;;Andreas;1;
901;g4r5;pitch-shift;22.12.2008;27.01.2009;E4;;;Andreas;1;
902;b11r3;Acute;22.12.2008;22.12.2008;AS;;Lacie1TB;Richard;2;HVC LMAn Stim bipolar RA recordings and biccuculine injections
903;p19r5;SR;23.12.2008;13.01.2009;IS1;;;Claude;1;Died during operation with 2 30-ul Urethane injection.
904;p17r5;SR;23.12.2008;13.01.2009;IS3;;;Claude;1;Died during operation with 2 30-ul Urethane injection.
905;r5y3;SR;19.12.2008;21.12.2008;IS6;;;Claude;0;
906;o16r5;Preference Test 1;30.12.2008;03.01.2009;;;;Georg;1;
907;r1r1;Tutor song suppression;02.01.2009;09.03.2009;IS7;;;Georg;1;juvenile
908;b11r5;Tutor song suppression;02.01.2009;09.03.2009;IS7;;;Georg;1;tutor
909;r5s20;PrefTest;03.01.2009;04.01.2009;;;;Georg;1;
910;p3o-sb;PrefTest;04.01.2009;05.01.2009;;;;Georg;1;
911;p10r5;PrefTest;05.01.2009;05.01.2009;;;;Georg;1;
912;r5s1;PrefTest;05.01.2009;11.01.2009;;;;Georg;1;
913;r5s9;HVC Tracer MMAN GAD staining;07.01.2009;12.01.2009;;;;Claude;2;
914;k3r5;SR;07.01.2009;14.01.2009;IS4;Zut3;;Janie;0;
915;k4r5;SR;07.01.2009;14.01.2009;IS5;Zut3;;Janie;0;trying again
916;r5s12;SR;07.01.2009;14.01.2009;IS8;Zut3;;Janie;0;trying again
917;r5y14;SR;07.01.2009;14.01.2009;IS2;Zut3;;Janie;0;Recording more
918;o10r5;BDA injection experiment;08.01.2009;15.01.2009;;;;Moritz;2;
919;o14r6;Tracer for EM immuno;08.01.2009;12.01.2009;;;;Daniele;2;
920;g9r1;Tracer injection exp.;12.01.2009;27.01.2009;;;;Moritz;2;
921;g6r1;SR & Acute Exp.;14.01.2009;17.01.2009;;;;Claude;1;Record R-HVC and playback BOS with Stim L-HVC.
922;r5y19;Tracer Injection;14.01.2009;14.01.2009;;;;Michael;2;Texas Red
923;g15r5;GQ-strepta injection;15.01.2009;20.01.2009;;;;Daniele;2;
924;r5s5;Test Urethane;15.01.2009;15.01.2009;;;;Claude;0;
925;b14r6;Test Urethane;15.01.2009;15.01.2009;;;;Claude;0;
926;o10r6;SR;15.01.2009;28.01.2009;IS4;;;Michael;1;
927;o13r6;Tracer Injection;15.01.2009;15.01.2009;;;;Michael;2;
928;o12r6;SR;15.01.2009;28.01.2009;IS8;;;Michael;0;
929;o6r5;Test Urethane;16.01.2009;06.01.2009;;;;Claude;0;
930;b14r3;SR;14.01.2009;17.01.2009;IS2;;;Claude;0;
931;g18r5;SR;14.01.2009;17.01.2009;IS1;;;Claude;0;
932;p17r4;SR;19.01.2009;09.02.2009;E3;;;Andreas;1;
933;b10r3;SR;27.01.2009;01.02.2009;E1;;;Georg;1;
934;k16r6;SR;27.01.2009;29.01.2009;IS2;;;Georg;1;
935;k15r6;SR;27.01.2009;29.01.2009;IS6;;;Georg;1;
936;g12r2;SR;27.01.2009;31.01.2009;E4;;;Andreas;1;
937;g12r6;SR;27.01.2009;31.01.2009;IS5;;;Andreas;1;
938;g4r5;pitch-shift;27.01.2009;09.02.2009;E2;;;Andreas;1;
939;o10r6;Tracer Injection;28.01.2009;28.01.2009;;;;Michael;2;Texas Red into Area X
940;k15r6;ncm-MD;29.01.2009;29.01.2009;;;;Andreas;1;
941;g12r6;ncm-MD;31.01.2009;10.02.2009;E4;;;Andreas;1;only got a couple of neurons. Learned a lot.
942;r5s1;showgirl;01.02.2009;14.02.2009;E4;;;Andreas;1;
943;g10r7;pHVC cut;03.02.2009;25.03.2009;IS1;;;florianh;2;Controll
944;r7s18;pHVC cutt;03.02.2009;06.02.2009;;;;florianh;2;
945;r7s20;phvc cutt;03.02.2009;25.03.2009;;;;florianh;2;
946;b20r7;phvc cutt;03.02.2009;25.03.2009;;;;florianh;2;
947;b17r6;Tracer for immuno against tracer;06.02.2009;10.02.2009;;;;Daniele;2;
948;b10r5;SR;07.02.2009;12.02.2009;E1;;;Georg;1;MD NCM Tutor
949;r6s5;MD NCM;07.02.2009;05.03.2009;E1;;;Georg;2;bird still alive, removed MD for song dev recording in the adult bird.
950;k16r6;MD NCM;29.01.2009;07.02.2009;E1;;;Georg;2;Bird tore off MD over night. EoE
951;b4p-red11;Showgirl;07.02.2009;05.03.2009;E1;;;Georg;1;
952;p17r4;SR;09.02.2009;14.02.2009;IS8;;;Andreas;1;
953;g4r5;pitch-shift;09.02.2009;04.03.2009;IS6;;;Andreas;1;
954;g16r6;SR;10.02.2009;12.02.2009;E3;;;Georg;1;
955;g16r6;ncm-MD;12.02.2009;14.02.2009;E4;;;Andreas;1;Bird tore off MD over night. EoE
956;o12r6;Tracer Injection;13.02.2009;13.02.2009;;;;Michael;2;
957;p17r4;SR;14.02.2009;04.03.2009;IS3;;;Andreas;1;
958;g15r6;SR;14.02.2009;25.02.2009;E3;;;Andreas;1;
959;g14r6;SR;14.02.2009;17.02.2009;E4;;;Andreas;1;
960;p5r5;sound recording;16.02.2009;20.02.2009;;;;florianh;1;
961;p19r6;Tracer injection (UV curing Deering prot.);12.02.2009;17.02.2009;;;;Moritz;2;
962;g17r5;Tracer Injection;18.02.2009;18.02.2009;;;;Michael;2;Cascade Blue
963;p12r6;Zenk pilot study;19.02.2009;19.02.2009;;;;Patrick;1;
964;g17r5;TPLSM;19.02.2009;19.02.2009;;;;Michael;2;
965;o12r6;TPLSM;16.02.2009;16.02.2009;;;;Michael;2;
966;o10r6;TPLSM;30.01.2009;30.01.2009;;;;Michael;2;
967;g14r6;ncm-MD;17.02.2009;20.02.2009;E4;;;Andreas;1;microphonics - turned out to be pick up from audio channel
968;r6y5;SR & HVC Acute Exp.;23.02.2009;09.03.2009;;;;Claude;1;
969;b10r6;SR & HVC Acute;23.02.2009;23.02.2009;;;;Claude;1;
970;k11r6;SR & HVC Acute Exp.;23.02.2009;25.02.2009;;;;Claude;1;
971;y7o-r16;Tracer injection experiment;19.02.2009;19.02.2009;;;;Moritz;1;Animal died under anestesia during operation
972;o8r6;Tracer injection;23.02.2009;06.03.2009;;;;Moritz;2;
973;g4r1;SR & HVC Acute;25.02.2009;27.02.2009;;;;Claude;1;
974;g1r7;SR;26.02.2009;02.03.2009;E3;;;Joshua;0;didn't sing for 4 days
975;p4r5;SR & HVC Acute Exp.;28.02.2009;11.03.2009;;;;Claude;1;
976;k4r5;stimRAmdLMAn;02.03.2009;19.03.2009;E3;Zutty2;Zynix;Josh;2;first motorized microdrive. Good multiunit activity, but no usable single units
977;o6r6;Tracer injection;03.03.2009;12.03.2009;;;;Daniele;2;
978;g4r5;SR;04.03.2009;08.03.2009;E4;;;Andreas;1;for brainfair
979;g2r7;Zenk expression perturbed;04.03.2009;12.03.2009;;;;Patrick;1;
980;g3r7;Zenk expression, control;04.03.2009;12.03.2009;;;;Patrick;1;
981;r7s11;SR & Test Ketamine;04.03.2009;11.03.2009;IS5;;;Claude;0;
982;red11;SR;04.03.2009;08.03.2009;E2;;;Andreas;1;
983;g8r7;ncm-MD;04.03.2009;29.03.2009;E1;;;Andreas;2;bird did not recover song after surgery. EoE
984;p13r5;showgirl;05.03.2009;29.03.2009;E1;;;Andreas;0;
985;g2r6;Ketamin dosage test;04.03.2009;04.03.2009;;;;Moritz;1;
986;o2r5;Ketamin dosage test;04.03.2009;04.03.2009;;;;Moritz;1;
987;b19r6;Tracer injection bilat. RA, Area X;05.03.2009;05.03.2009;;;;Moritz;1;Bird died under anestesia
988;k2r2;Tracer injection (virus room setup test);05.03.2009;16.03.2009;;;;Moritz;2;
989;k3r5;Tracer Injection;06.03.2009;06.03.2009;;;;Michael;2;Texas Red into Area X
990;g5r7;Zenk expression, no singing;12.03.2009;16.03.2009;;;;Patrick;1;
991;k8r6;SR & HVC Acute Exp.;12.03.2009;21.04.2009;E2;;;Claude;1;
992;b8r6;SR & HVC Acute Exp.;12.03.2009;12.03.2009;IS8;;;Claude;1;
993;r6y7;SR & HVC Acute Exp.;12.03.2009;25.03.2009;IS3;zong;;Claude;1;
994;r7s1;SR & HVC Acute Exp.;12.03.2009;14.04.2009;IS5;;;Claude;1;
995;cj8;stimRAmdLMAn;19.03.2009;24.03.2009;E3;Zutty2;;Joshua;1;did not find stim response. Burned 1.5 ML / 4.8 AP / 2.5 DV
996;g14r5;SR;19.03.2009;27.03.2009;;;;Michael;0;
997;k5r5;SR;20.03.2009;27.03.2009;;;;Michael;0;
998;p12r5;SR;20.03.2009;27.03.2009;;;;Michael;0;
999;cj7;stimRAmdLMAn;25.03.2009;02.04.2009;E3;Zutty2;;Joshua;2;Not successful
1000;r6y12;SR;27.03.2009;06.04.2009;IS1;Zut3;;Janie;0;
1001;r6y11;SR;27.03.2009;06.04.2009;IS2;Zut3;;Janie;0;
1002;p1r5;SR;27.03.2009;06.04.2009;IS8;Zut3;;Janie;0;
1003;g1r7;Tracer injection;30.03.2009;02.04.2009;;;;Daniele;2;
1004;p10r7;HVC Acute Exp.;02.04.2009;19.05.2009;;zong;;Claude;1;
1005;yellow20;SR;24.03.2009;06.04.2009;IS3;;;Janie;0;
1006;g18r6;Tracer injection;06.04.2009;06.04.2009;;;;Moritz;1;Died under anestesia
1007;r6y2;Tracer injection;07.04.2009;15.04.2009;;;;Moritz;2;
1008;p8r7;Zenk experiment perturbed during song;02.04.2009;08.04.2009;;;;Patrick;1;
1009;p7r7;Zenk expression, perturbed between song;02.04.2009;08.04.2009;;;;Patrick;1;
1010;p2s2;stimRAmdLMAN;09.04.2009;15.04.2009;E3;Zutty2;;Joshua;1;looked weak, did not sing. Chose a different juvenile for experiment.
1011;cj9;stimRAmdLMAN;15.04.2009;30.04.2009;E3;Zutty2;;Joshua;2;not successful
1012;k6r6;SR & Acute Exp.;15.04.2009;11.05.2009;IS8;;;Claude;1;
1013;b15r5;SR & Acute Exp.;15.04.2009;05.05.2009;;;;Claude;1;
1014;r19p-s17o;SR;16.04.2009;21.04.2009;IS1;Zing;;Janie;0;Bird did not sing in 6 days
1015;p2r5;SR;16.04.2009;21.04.2009;IS7;Zing;;Janie;0;Bird sang!!
1016;p17r2;SR;16.04.2009;21.04.2009;IS2;Zing;;Janie;0;bird sang!
1017;g8r6;SR;16.04.2009;21.04.2009;IS4;Zing;;Janie;0;Bird did not sing in 6 days.
1019;y12red;SR;16.04.2009;21.04.2009;IS3;Zing;;Janie;0;Bird sang!
1020;o19r7;SR;16.04.2009;17.04.2009;E6;;;Andreas;0;
1021;b7r5;SR;16.04.2009;17.04.2009;E4;;;Andreas;0;
1022;o20r7;MD NCM adaptation;16.04.2009;04.05.2009;E1;;;Georg;2;blood in guide tube after first manipulation of the lateral positioner EoE
1023;p15r6;Showgirl;17.04.2009;29.05.2009;;;;Joshua;1;
1024;p10r5;showgirl;17.04.2009;22.06.2009;E1;;;Georg;0;
1025;o2r3;SR & HVC Stim.;21.04.2009;28.07.2009;E2;;;Claude;1;Failed. Bird sang subsong after HVC Stim. implant.
1026;p1s1;Zenk experiment;24.04.2009;30.04.2009;;;;Patrick;1;did not sing enough, but did
1027;p16r6;AAV injection;27.04.2009;18.05.2009;;;;Daniele;2;Serotype 2
1028;o20r6;Virus injection 2/1;27.04.2009;18.05.2009;;;;Moritz;2;
1029;o14r7;Zenk - perturbed between song;28.04.2009;05.05.2009;;;;Patrick;1;
1030;p13r6;AAV injection hu37;28.04.2009;02.05.2009;;;;Daniele;2;
1031;k2r6;AAV injection serotype 2/8;28.04.2009;18.05.2009;;;;Daniele;2;
1032;b12r7;StimRAmdLMAN;28.04.2009;15.05.2009;E3;Zutty2;;Joshua;2;not successful
1033;r6y19;AAV injection rh8;29.04.2009;19.05.2009;;;;Daniele;2;
1034;r6s3;HVC Acute Exp.;29.04.2009;29.04.2009;AS;;;Claude;0;
1035;r6y9;AAV injection rh10;30.04.2009;30.04.2009;;;;Daniele;2;v0561
1036;r1r1;SR & Acute Exp.;01.05.2009;06.05.2009;;;;Claude;1;
1037;o19r7;SR;17.04.2009;04.05.2009;E4;;;Andreas;0;
1038;o19r7;ncm-MD;04.05.2009;01.07.2009;E4;;;Andreas;1;
1039;p20r6;AAv injection 2nd round rh10;04.05.2009;26.05.2009;;;;Daniele;2;v0561
1040;r6y3;AAV injection type 5;30.04.2009;20.05.2009;;;;Moritz;2;
1041;r6y16;AAV injection type9;29.04.2009;19.05.2009;;;;Moritz;2;
1042;g18r5;AAV injection type 7;29.04.2009;09.05.2009;;;;Moritz;2;
1043;k7r6;AAV injection type 6.2;29.04.2009;20.05.2009;;;;Moritz;2;
1044;b11r7;SR;04.05.2009;08.05.2009;E4;;;Andreas;1;
1045;y16p-s2;SR;04.05.2009;08.05.2009;E3;;;Andreas;0;
1046;g19r7;AAV inj 2nd ser 2/7;04.05.2009;26.05.2009;;;;Daniele;2;v0127
1047;b13r7;Zenk expression, perturbed during song;01.05.2009;05.05.2009;;;;Patrick;1;
1048;o11r6;AAV inj second 2/1;05.05.2009;27.05.2009;;;;Daniele;2;
1049;g20r7;AAV inj second 2/5;05.05.2009;26.05.2009;;;;Daniele;2;v0800
1050;p14r6;AAV inj second 6.2;05.05.2009;27.05.2009;;;;Daniele;2;v0807
1051;g15r6;MD mMAN;05.05.2009;05.05.2009;;;;Georg;1;bird lost too much blood during surgery EoE
1052;o3r6;AAV injection type 2 (V0061-K);07.05.2009;27.05.2009;;;;Moritz;2;
1053;r7s4;AAV injection type 2/8 (V0877);07.05.2009;27.05.2009;;;;Moritz;2;
1054;p11r7;Acute Exp.;07.05.2009;07.05.2009;;;;Claude;1;
1055;k12r6;AAV injection 2/9;08.05.2009;02.06.2009;;;;Moritz;2;
1056;cj10;stimRAmdLMAN;08.05.2009;09.07.2009;E3;Zutty2;;Joshua;2;Some good data, but song never really cristallyzed. Maybe HVC leasioned.
1058;g6r6;AAV injection hu37;09.05.2009;02.06.2009;;;;Moritz;2;
1059;g8r6;AAV injection rh8;09.05.2009;02.06.2009;;;;Moritz;2;
1060;b6r6;AAV injection hu37;11.05.2009;04.06.2009;;;;Daniele;2;
1061;p5r5;Acute Exp;11.05.2009;11.05.2009;;;;Claude;1;
1063;k4r6;AAV inj third round rh8;11.05.2009;04.06.2009;;;;Daniele;2;
1064;r6y8;Control animal Zenk expression;12.05.2009;12.05.2009;;;;Patrick;1;
1065;b14r5;Acute Exp.;12.05.2009;12.05.2009;;;;Claude;1;
1066;p1r6;AAV injection typ 2/7;12.05.2009;04.06.2009;;;;Moritz;2;
1067;k11r7;Zenk expression, automatic pertubation;14.05.2009;26.05.2009;;;;Patrick;1;
1068;r7y18;Subsong recording;15.05.2009;17.05.2009;IS7;;;Alexei;3;Song isolate bird
1069;r7y10;Practice surgery;15.05.2009;15.05.2009;;;;Alexei;2;
1070;k3r6;Perfusion Experiment;20.05.2009;20.05.2009;;;;Moritz;1;
1071;g12r7;HVC Acute Exp.;21.05.2009;21.05.2009;;;;Claude;1;
1072;r7y7;NIF stim sleep;13.05.2009;07.07.2009;EB1;;;;0;NIF bilateral stimulation during inactivity
1073;r7y5;NIF stim sleep;23.05.2009;07.07.2009;EB2;;;;0;Control animal for NIF bilateral stimulation during inactivity
1074;r7y8;NIF stim sleep;23.05.2009;07.07.2009;EB3;;;;0;control animal for NIF stim sleep
1075;r7y20;NIF stim sleep;22.05.2009;25.06.2009;E1;;;;0;Wait to determine the gender
1076;k1r7;NIF stim sleep;23.05.2009;25.06.2009;E1;;;Alexej;0;Wait to determine the gender
1077;r7y17;NIF stim sleep;23.05.2009;13.07.2009;E1;;;;0;Wait to determine the gender
1078;p12r7;HVC Acute Exp.;25.05.2009;25.05.2009;;;;Claude;1;
1079;b17r7;Zenk expression, manual perturbation;26.05.2009;26.05.2009;;;;Patrick;1;
1080;k16r5;HVC BOS Acute Exp.;26.05.2009;01.06.2009;;;;Claude;1;Failed.
1081;b1r5;SR;26.05.2009;09.06.2009;;;;Claude;0;
1082;k3r7;Subsong recording;26.05.2009;07.07.2009;E2;;;Alexei;0;
